codigo_curso,nombre_curso,catedratico,auxiliar
3022,PSICOLOGIA INDUSTRIAL (DIPLOMADO),OTTO LEONEL SUÁREZ MOTA,xxx
3664,LEGISLACION 2 (DIPLOMADO),JULIO CÉSAR VILLATORO SANABRIA,xxx
9000,P.A.P. DE MATEMATICA PARA INGENIERIA,LUIS FELIPE PEREZ URIAS,xxx
156,FISICA 4,JOSE ALEJANDRO ARRIAGA CARDONA,xxx
234,ELECTRONICA 4,CARLOS EDUARDO GUZMAN SALAZAR,xxx
39,DEPORTES 1,MARIO ENRIQUE RIVERA GONZALEZ,GABRIEL ALEJANDRO VILLATORO PÉREZ
348,QUIMICA GENERAL 1,BERTHA ROXANDA MOLINA LEON DE QUINTO,xxx
774,SISTEMAS DE BASES DE DATOS 1,LUIS FERNANDO ESPINO BARRIOS,xxx
777,ORGANIZACION DE LENGUAJES Y COMPILADORES 1,MANUEL HAROLDO CASTILLO REYNA,xxx
2013,PRACTICAS FINALES INGENIERIA ELECTRONICA,KENNETH ISSUR ESTRADA RUIZ,xxx
349,QUIMICA PARA INGENIERIA CIVIL,ADELA MARIA MARROQUIN GONZALEZ,ALBA MAGNOLIA GARCÍA ASPUACA
634,INGENIERIA DE METODOS,MARIA MARTHA WOLFORD E. DE HERNANDEZ,xxx
2009,PRACTICAS FINALES INGENIERIA CIENCIAS Y SISTEMAS,FLORIZA FELIPA AVILA PESQUERA DE MEDINILLA,xxx
2003,PRACTICAS FINALES INGENIERIA MECANICA,DIEGO ISRAEL NAVARRO GODINEZ,xxx
6,IDIOMA TECNICO 1,ERICKA NATHALIE LOPEZ TORRES,LUIS PEDRO ZALDAÑA BRAVO
2007,PRACTICAS FINALES INGENIERIA MECANICA INDUSTRIAL,JAIME HUMBERTO BATTEN ESQUIVEL,xxx
2002,PRACTICAS FINALES INGENIERIA QUIMICA,SERGIO ALEJANDRO RECINOS,xxx
2001,PRACTICAS FINALES INGENIERIA CIVIL,CHRISTA DEL ROSARIO CLASSON REHWOLDT DE PINTO,xxx
254,HIDROLOGIA,CLAUDIO CESAR CASTAÑON CONTRERAS,xxx
